type,method,difference
CF,D,-0.0005
CF,D,0.1236
CF,D,0.0987
CF,D,0.0586
CF,D,0.2537
CF,D,0.075
CF,D,0.1264
CF,D,0.1452
CF,D,-0.0212
CF,D,-0.0458
CF,D,0.1199
CF,D,0.1514
CF,D,0.2194
CF,D,0.1326
CF,D,0.0623
CF,D,0.3131
CF,D,0.0274
CF,D,-0.0306
CF,D,0.0839
CF,D,0.071
CF,D,0.0086
CF,D,0.0398
CF,D,0.08
CF,D,-0.0885
CF,D,0.0123
CF,D,0.0576
CF,D,0.0313
CF,D,-0.0323
CF,D,0.2133
CF,D,-0.0117
CF,D,0.0567
CF,D,0.211
CF,D,0.2451
CF,D,0.2085
CF,D,0.1476
CF,D,0.1787
CF,D,0.1526
CF,D,0.1209
CF,D,0.2948
CF,D,0.2306
CF,D,0.2784
CF,D,0.177
CF,D,0.0421
CF,D,0.001
CF,D,0.0515
CF,D,0.0679
CF,D,0.0982
CF,D,0.1863
CF,D,0.2467
CF,D,0.0609
CF,D,0.048
CF,D,0.0963
CF,D,0.0619
CF,D,0.018
CF,D,-0.0082
CF,D,0.1349
CF,D,0.0819
CF,D,0.016
CF,D,0.0464
CF,D,0.0832
CF,D,0.1634
CF,D,0.038
CF,D,0.038
CF,D,0.0529
CF,D,-0.0864
CF,D,0.1315
CF,D,0.171
CF,D,0.1564
CF,D,0.1548
CF,D,0.1182
CF,D,0.1041
CF,D,0.1497
CF,D,0.1106
CF,D,0.0575
CF,D,0.0386
CF,D,0.104
CF,D,0.1433
CF,D,0.0962
CF,D,0.1176
CF,D,0.0516
CF,D,0.0165
CF,D,0.0801
CF,D,0.0032
CF,D,0.0997
CF,D,0.0953
CF,D,0.027
CF,D,0.0413
CF,D,0.0382
CF,D,0.0553
CF,D,0.0262
CF,D,0.0067
CF,D,0.0808
CF,D,0.0543
CF,D,0.0716
CF,D,0.0364
CF,D,0.0603
CF,D,0.0821
CF,D,0.0512
CF,D,0.0402
CF,D,0.031
CF,D,0.0048
CF,D,0.0481
CF,D,0.0247
CF,D,0.1531
CF,D,0.2316
CF,D,0.133
CF,D,0.1374
CF,D,0.1424
CF,D,0.1847
CF,D,0.1224
CF,D,0.115
CF,D,0.1735
CF,D,0.1581
CF,D,0.1053
CF,D,0.1417
CF,D,0.0762
CF,D,0.0748
CF,D,0.0818
CF,D,0.0615
CF,D,0.0498
CF,D,0.1158
CF,D,0.0874
CF,D,0.0511
CF,D,0.1191
CF,D,0.0921
CF,D,0.066
CF,D,0.067
CF,D,0.09
CF,D,0.0722
CF,D,0.1086
CF,D,0.1244
CF,D,0.0633
CF,D,0.0839
CF,D,0.0111
CF,D,0.0575
CF,D,0.1123
CF,D,0.1249
CF,D,0.1187
CF,D,0.0598
CF,D,0.1597
CF,D,0.14
CF,D,0.1795
CF,D,0.1225
CF,D,0.1197
CF,D,0.1242
CF,D,0.1003
CF,D,0.1168
CF,D,0.1992
CF,D,0.165
CF,D,0.1261
CF,D,0.1259
CF,D,0.0745
CF,D,0.0601
CF,D,0.0874
CF,D,0.0607
CF,D,0.0535
CF,D,0.0802
CF,D,0.1076
CF,D,0.1556
CF,D,0.0874
CF,D,0.0997
CF,D,0.0654
CF,D,0.0438
CF,D,0.0924
CF,D,0.0289
CF,D,0.0178
CF,D,0.0684
CF,D,0.0399
CF,D,0.0707
CF,D,0.0127
CF,D,0.0324
CF,D,0.0371
CF,D,0.0892
CF,D,0.0475
CF,D,0.0645
CF,D,0.2079
CF,D,0.198
CF,D,0.1418
