127,524,662,522
128,544,756,522
129,615,656,522
130,631,752,522
131,529,253,50
132,529,253,154
133,512,357,154
134,512,357,50
135,612,260,50
136,613,261,154
137,607,361,154
138,607,361,50
139,529,252,277
140,511,357,277
141,613,261,277
142,607,361,277
143,529,251,399
144,511,357,399
145,613,261,399
146,607,361,399
147,529,251,522
148,511,356,522
149,613,262,522
150,606,361,522
151,556,862,155
152,556,850,50
153,660,867,156
154,659,847,50
155,557,849,277
156,662,849,277
157,557,869,400
158,662,882,395
159,557,880,522
160,664,873,522
161,755,67,50
162,755,57,155
163,733,167,154
164,733,167,50
165,827,94,50
166,834,70,154
167,824,189,154
168,824,190,50
169,754,68,277
170,733,168,277
171,834,73,277
172,824,189,277
173,751,42,392
174,733,169,399
175,840,42,382
176,824,189,399
177,753,55,522
178,733,169,522
179,836,65,522
180,824,189,522
181,708,458,50
182,708,458,154
183,710,560,154
184,710,560,50
185,806,456,50
186,805,456,154
187,808,552,154
188,808,553,50
189,708,457,277
190,710,559,277
191,805,456,277
192,808,551,277
193,708,456,399
194,710,559,399
195,805,456,399
196,808,550,399
197,709,456,522
198,711,559,522
199,805,455,522
200,808,549,522
201,718,651,50
202,718,651,154
203,733,747,154
204,733,747,50
205,819,640,50
206,819,640,154
207,825,727,154
208,825,727,50
209,718,650,277
210,733,747,277
211,819,640,277
212,825,727,277
213,718,650,399
214,733,746,399
215,819,640,399
216,825,728,399
217,719,650,522
218,733,746,522
219,820,640,522
220,825,728,522
221,715,266,50
222,714,266,154
223,709,364,154
224,709,364,50
225,814,273,50
226,814,273,154
227,810,361,154
228,810,362,50
229,714,267,277
230,709,364,277
231,814,273,277
232,810,360,277
233,713,267,399
234,708,364,399
235,814,273,399
236,809,360,399
237,713,267,522
238,708,364,522
239,814,273,522
240,809,359,522
241,755,864,158
242,752,844,50
243,838,840,154
244,828,818,50
245,754,849,277
246,834,840,275
247,756,883,391
248,844,865,391
249,756,859,522
250,834,839,522
251,885,130,50
252,907,105,154
253,956,186,154
254,922,197,50
255,908,106,276
256,956,185,277
257,927,96,392
258,962,194,399
259,906,109,522
260,924,197,522
261,881,454,50
262,912,453,154
263,932,532,154
264,889,549,50
265,910,455,279
266,926,536,285
267,900,455,402
268,914,542,399
269,876,455,516
270,901,549,515
271,927,635,50
272,969,627,154
273,947,734,155
274,924,724,50
275,964,625,281
276,949,732,277
277,955,625,399
278,966,729,393
279,936,633,521
280,941,722,522
281,909,279,50
282,943,297,154
283,913,367,154
284,882,363,50
285,943,297,277
286,914,367,277
287,939,292,405
288,912,366,401
289,913,278,520
290,887,360,522
291,899,800,154
292,881,784,50
293,901,800,276
294,920,817,388
295,905,802,522
296,379,138,50
297,364,119,165
298,396,188,154
299,396,188,50
300,484,96,50
301,480,72,162
302,478,158,154
303,479,158,50
304,377,135,277
305,397,187,277
306,485,99,276
307,478,159,277
308,376,132,399
309,397,187,399
310,485,97,399
311,478,159,399
312,380,141,522
313,397,186,522
314,484,95,522
315,478,159,522
316,316,465,50
317,315,464,154
318,323,556,154
319,324,556,50
320,405,463,50
321,404,463,154
322,412,567,154
323,412,568,50
324,315,464,277
325,323,556,277
326,404,464,277
327,412,567,277
328,314,463,399
329,322,556,399
330,403,464,399
331,412,567,399
332,314,463,522
333,322,556,522
334,403,465,522
335,412,567,522
336,352,648,50
337,352,648,154
338,388,756,154
339,388,756,50
340,438,665,50
341,437,665,154
342,470,764,154
343,470,764,50
344,352,648,277
345,388,755,277
346,437,664,277
347,470,765,277
348,353,648,399
349,388,755,399
350,437,664,399
351,469,765,399
352,353,648,522
353,389,755,522
354,436,664,522
355,469,765,522
356,356,281,50
357,357,281,154
358,327,371,154
359,328,371,50
360,441,261,50
361,442,261,154
362,418,361,154
363,418,361,50
364,357,281,277
365,327,372,277
366,442,261,277
367,418,361,277
368,357,281,399
369,326,372,399
370,442,261,399
371,418,360,399
372,357,281,522
373,326,373,522
374,443,260,522
375,418,360,522
376,358,798,154
377,362,793,50
378,461,840,155
379,464,827,50
380,362,788,278
381,466,827,279
382,354,806,400
383,461,848,400
384,348,815,522
385,458,863,522
